Uniprot: Q80ZN4, Affymetrix: 1431619_a_at, GeneID: DTNBP1
Uniprot: Q9CY43, Affymetrix: 1431619_a_at, GeneID: DTNBP1
Uniprot: Q3TWK1, Affymetrix: 1431619_a_at, GeneID: DTNBP1
Uniprot: Q91WZ8, Affymetrix: 1431619_a_at, GeneID: DTNBP1
Uniprot: Q6WXQ1, Affymetrix: 1431619_a_at, GeneID: DTNBP1
Uniprot: P50708, Affymetrix: 1450631_x_at, GeneID: DEFA15
Uniprot: P50709, Affymetrix: 1450631_x_at, GeneID: DEFA15
Uniprot: Q5G866, Affymetrix: 1450631_x_at, GeneID: DEFA15
Uniprot: Q5G865, Affymetrix: 1450631_x_at, GeneID: DEFA15
Uniprot: P50704, Affymetrix: 1450631_x_at, GeneID: DEFA15
Uniprot: Q5G864, Affymetrix: 1450631_x_at, GeneID: DEFA15
Uniprot: P50705, Affymetrix: 1450631_x_at, GeneID: DEFA15
Uniprot: P50706, Affymetrix: 1450631_x_at, GeneID: DEFA15
Uniprot: P50707, Affymetrix: 1450631_x_at, GeneID: DEFA15
Uniprot: Q499K7, Affymetrix: 1450631_x_at, GeneID: DEFA15
Uniprot: Q70LV0, Affymetrix: 1450631_x_at, GeneID: DEFA15
Uniprot: Q70LV1, Affymetrix: 1450631_x_at, GeneID: DEFA15
Uniprot: Q70LU8, Affymetrix: 1450631_x_at, GeneID: DEFA15
Uniprot: Q70LU7, Affymetrix: 1450631_x_at, GeneID: DEFA15
Uniprot: Q70LU6, Affymetrix: 1450631_x_at, GeneID: DEFA15
Uniprot: Q70LU5, Affymetrix: 1450631_x_at, GeneID: DEFA15
Uniprot: Q70LU4, Affymetrix: 1450631_x_at, GeneID: DEFA15
Uniprot: Q499K8, Affymetrix: 1450631_x_at, GeneID: DEFA15
Uniprot: Q70LU3, Affymetrix: 1450631_x_at, GeneID: DEFA15
Uniprot: P28309, Affymetrix: 1450631_x_at, GeneID: DEFA15
Uniprot: P50715, Affymetrix: 1450631_x_at, GeneID: DEFA15
Uniprot: P11477, Affymetrix: 1450631_x_at, GeneID: DEFA15
Uniprot: Q68VH1, Affymetrix: 1450631_x_at, GeneID: DEFA15
Uniprot: Q61448, Affymetrix: 1450631_x_at, GeneID: DEFA15
Uniprot: Q62537, Affymetrix: 1450631_x_at, GeneID: DEFA15
Uniprot: Q64109, Affymetrix: 1450631_x_at, GeneID: DEFA15
Uniprot: P82293, Affymetrix: 1450631_x_at, GeneID: DEFA15
Uniprot: P82294, Affymetrix: 1450631_x_at, GeneID: DEFA15
Uniprot: Q059S0, Affymetrix: 1450631_x_at, GeneID: DEFA15
Uniprot: P50710, Affymetrix: 1450631_x_at, GeneID: DEFA15
Uniprot: Q64016, Affymetrix: 1450631_x_at, GeneID: DEFA15
Uniprot: P28310, Affymetrix: 1450631_x_at, GeneID: DEFA15
Uniprot: Q60616, Affymetrix: 1450631_x_at, GeneID: DEFA15
Uniprot: P50713, Affymetrix: 1450631_x_at, GeneID: DEFA15
Uniprot: P50712, Affymetrix: 1450631_x_at, GeneID: DEFA15
Uniprot: P50711, Affymetrix: 1450631_x_at, GeneID: DEFA15
Uniprot: Q9D1P8, Affymetrix: 1428980_at, GeneID: KPRP
Uniprot: B2RUR4, Affymetrix: 1428980_at, GeneID: KPRP
Uniprot: A2AB79, Affymetrix: 1435866_s_at, GeneID: HIST3H2A
Uniprot: Q8BFU2, Affymetrix: 1435866_s_at, GeneID: HIST3H2A
Uniprot: A2AB81, Affymetrix: 1435866_s_at, GeneID: HIST3H2A
Uniprot: Q3U9P0, Affymetrix: 1436384_at, GeneID: RPS10
Uniprot: P09900, Affymetrix: 1436384_at, GeneID: RPS10
Uniprot: Q9DCR5, Affymetrix: 1436384_at, GeneID: RPS10
Uniprot: P63325, Affymetrix: 1436384_at, GeneID: RPS10
Uniprot: Q3UW83, Affymetrix: 1436384_at, GeneID: RPS10
Uniprot: Q5M9K7, Affymetrix: 1436384_at, GeneID: RPS10
Uniprot: B2RUA8, Affymetrix: 1448701_a_at, GeneID: KRIT1
Uniprot: Q6VSV2, Affymetrix: 1448701_a_at, GeneID: KRIT1
Uniprot: Q7TPR8, Affymetrix: 1448701_a_at, GeneID: KRIT1
Uniprot: Q5U463, Affymetrix: 1448701_a_at, GeneID: KRIT1
Uniprot: Q9ERH0, Affymetrix: 1448701_a_at, GeneID: KRIT1
Uniprot: Q8C9Q6, Affymetrix: 1448701_a_at, GeneID: KRIT1
Uniprot: Q9EPY2, Affymetrix: 1448701_a_at, GeneID: KRIT1
Uniprot: Q6S5J6, Affymetrix: 1448701_a_at, GeneID: KRIT1
Uniprot: Q5M9P3, Affymetrix: 1460442_at, GeneID: RPS19
Uniprot: Q5M9J4, Affymetrix: 1460442_at, GeneID: RPS19
Uniprot: Q9CZX8, Affymetrix: 1460442_at, GeneID: RPS19
Uniprot: O88604, Affymetrix: 1435176_a_at, GeneID: ID2
Uniprot: Q545T4, Affymetrix: 1435176_a_at, GeneID: ID2
Uniprot: P41136, Affymetrix: 1435176_a_at, GeneID: ID2
Uniprot: Q03265, Affymetrix: 1449710_s_at, GeneID: ATP5A1
Uniprot: Q3TPR0, Affymetrix: 1449710_s_at, GeneID: ATP5A1
Uniprot: Q3TPV3, Affymetrix: 1449710_s_at, GeneID: ATP5A1
Uniprot: Q543Y6, Affymetrix: 1449710_s_at, GeneID: ATP5A1
Uniprot: Q3UIR7, Affymetrix: 1449710_s_at, GeneID: ATP5A1
Uniprot: Q3TFN0, Affymetrix: 1449710_s_at, GeneID: ATP5A1
Uniprot: Q3TZU3, Affymetrix: 1449710_s_at, GeneID: ATP5A1
Uniprot: Q3THN8, Affymetrix: 1449710_s_at, GeneID: ATP5A1
Uniprot: Q9JKQ5, Affymetrix: 1453620_at, GeneID: CTTNBP2
Uniprot: Q69ZB2, Affymetrix: 1453620_at, GeneID: CTTNBP2
Uniprot: Q8BVG1, Affymetrix: 1453620_at, GeneID: CTTNBP2
Uniprot: Q8C044, Affymetrix: 1453620_at, GeneID: CTTNBP2
Uniprot: Q921V5, Affymetrix: 1452037_at, GeneID: MGAT2
Uniprot: Q8C3Z6, Affymetrix: 1452037_at, GeneID: MGAT2
Uniprot: Q3U6X4, Affymetrix: 1452037_at, GeneID: MGAT2
Uniprot: Q3U5X7, Affymetrix: 1452037_at, GeneID: MGAT2
Uniprot: Q3TBY6, Affymetrix: 1452037_at, GeneID: MGAT2
Uniprot: Q3TXN3, Affymetrix: 1452037_at, GeneID: MGAT2
Uniprot: Q8BX62, Affymetrix: 1445358_at, GeneID: TNKS
Uniprot: Q6PFX9, Affymetrix: 1445358_at, GeneID: TNKS
Uniprot: Q8BND2, Affymetrix: 1445358_at, GeneID: TNKS
Uniprot: Q8CER7, Affymetrix: 1445358_at, GeneID: TNKS
Uniprot: Q569X0, Affymetrix: 1427718_a_at, GeneID: MDM2
Uniprot: P23804, Affymetrix: 1427718_a_at, GeneID: MDM2
Uniprot: Q61040, Affymetrix: 1427718_a_at, GeneID: MDM2
Uniprot: Q2L9A9, Affymetrix: 1427718_a_at, GeneID: MDM2
Uniprot: Q91XK7, Affymetrix: 1427718_a_at, GeneID: MDM2
Uniprot: Q64330, Affymetrix: 1427718_a_at, GeneID: MDM2
Uniprot: Q3TVL4, Affymetrix: 1427718_a_at, GeneID: MDM2
Uniprot: Q05BS9, Affymetrix: 1459668_at, GeneID: TANK
Uniprot: P70347, Affymetrix: 1459668_at, GeneID: TANK
Uniprot: Q61178, Affymetrix: 1459668_at, GeneID: TANK
Uniprot: Q8C2D3, Affymetrix: 1459668_at, GeneID: TANK
Uniprot: Q3UGW0, Affymetrix: 1459668_at, GeneID: TANK
Uniprot: Q3TNB4, Affymetrix: 1459668_at, GeneID: TANK
Uniprot: A2AR78, Affymetrix: 1459668_at, GeneID: TANK
Uniprot: Q8R383, Affymetrix: 1459668_at, GeneID: TANK
Uniprot: A2AR76, Affymetrix: 1459668_at, GeneID: TANK
Uniprot: Q6PGJ3, Affymetrix: 1450435_at, GeneID: L1CAM
Uniprot: A2AFG6, Affymetrix: 1450435_at, GeneID: L1CAM
Uniprot: A2AFG5, Affymetrix: 1450435_at, GeneID: L1CAM
Uniprot: A2AFG8, Affymetrix: 1450435_at, GeneID: L1CAM
Uniprot: A2AFG7, Affymetrix: 1450435_at, GeneID: L1CAM
Uniprot: P11627, Affymetrix: 1450435_at, GeneID: L1CAM
Uniprot: Q9QYQ7, Affymetrix: 1450435_at, GeneID: L1CAM
Uniprot: Q684Q2, Affymetrix: 1450435_at, GeneID: L1CAM
Uniprot: Q80XE1, Affymetrix: 1435096_at, GeneID: RIC8B
Uniprot: Q58L65, Affymetrix: 1435096_at, GeneID: RIC8B
Uniprot: Q6PB55, Affymetrix: 1437349_at, GeneID: CKAP5
Uniprot: Q3UDY6, Affymetrix: 1437349_at, GeneID: CKAP5
Uniprot: Q9CUN0, Affymetrix: 1437349_at, GeneID: CKAP5
Uniprot: Q80U79, Affymetrix: 1437349_at, GeneID: CKAP5
Uniprot: A0PJ77, Affymetrix: 1437349_at, GeneID: CKAP5
Uniprot: Q3TML9, Affymetrix: 1437349_at, GeneID: CKAP5
Uniprot: Q8K250, Affymetrix: 1437349_at, GeneID: CKAP5
Uniprot: A2AGT6, Affymetrix: 1437349_at, GeneID: CKAP5
Uniprot: A2AGT5, Affymetrix: 1437349_at, GeneID: CKAP5
Uniprot: B2RRC4, Affymetrix: 1437349_at, GeneID: CKAP5
Uniprot: Q0VGR0, Affymetrix: 1437349_at, GeneID: CKAP5
Uniprot: Q4VAE7, Affymetrix: 1437349_at, GeneID: CKAP5
Uniprot: Q4V782, Affymetrix: 1437349_at, GeneID: CKAP5
Uniprot: Q9ESS2, Affymetrix: 1460296_a_at, GeneID: FGF22
Uniprot: Q0VER9, Affymetrix: 1460296_a_at, GeneID: FGF22
Uniprot: Q8CDR3, Affymetrix: 1444312_at, GeneID: SLC22A15
Uniprot: A7MCW2, Affymetrix: 1444312_at, GeneID: SLC22A15
Uniprot: Q504N2, Affymetrix: 1444312_at, GeneID: SLC22A15
Uniprot: Q3U882, Affymetrix: 1426848_at, GeneID: SEC24B
Uniprot: Q3UDH4, Affymetrix: 1426848_at, GeneID: SEC24B
Uniprot: Q6PFZ1, Affymetrix: 1426848_at, GeneID: SEC24B
Uniprot: O70125, Affymetrix: 1426848_at, GeneID: SEC24B
Uniprot: Q80ZX0, Affymetrix: 1426848_at, GeneID: SEC24B
Uniprot: O70311, Affymetrix: 1454919_at, GeneID: NMT2
Uniprot: A2AJH3, Affymetrix: 1454919_at, GeneID: NMT2
Uniprot: Q8CFK1, Affymetrix: 1454919_at, GeneID: NMT2
Uniprot: Q3THR4, Affymetrix: 1454919_at, GeneID: NMT2
Uniprot: Q8C032, Affymetrix: 1452161_at, GeneID: TIPARP
Uniprot: Q3UD50, Affymetrix: 1452161_at, GeneID: TIPARP
Uniprot: Q8C1B2, Affymetrix: 1452161_at, GeneID: TIPARP
Uniprot: Q8CDH5, Affymetrix: 1429301_at, GeneID: CSNK2A2
Uniprot: Q8BPF9, Affymetrix: 1429301_at, GeneID: CSNK2A2
Uniprot: Q8CEL6, Affymetrix: 1429301_at, GeneID: CSNK2A2
Uniprot: O54833, Affymetrix: 1429301_at, GeneID: CSNK2A2
Uniprot: Q545V8, Affymetrix: 1429301_at, GeneID: CSNK2A2
Uniprot: Q9JJL3, Affymetrix: 1427826_a_at, GeneID: SLCO1B2
Uniprot: Q9JI79, Affymetrix: 1427826_a_at, GeneID: SLCO1B2
Uniprot: Q9JJJ1, Affymetrix: 1427826_a_at, GeneID: SLCO1B2
Uniprot: Q8VCU3, Affymetrix: 1424904_at, GeneID: 1300010F03RIK
Uniprot: Q6ZQ94, Affymetrix: 1424904_at, GeneID: 1300010F03RIK
Uniprot: Q9DBH4, Affymetrix: 1424904_at, GeneID: 1300010F03RIK
Uniprot: Q8CC88, Affymetrix: 1424904_at, GeneID: 1300010F03RIK
Uniprot: Q3U4P9, Affymetrix: 1424904_at, GeneID: 1300010F03RIK
Uniprot: Q3U2P5, Affymetrix: 1424904_at, GeneID: 1300010F03RIK
Uniprot: Q8CDH8, Affymetrix: 1424904_at, GeneID: 1300010F03RIK
Uniprot: Q9QUG9, Affymetrix: 1442264_at, GeneID: RASGRP2
Uniprot: Q80WC0, Affymetrix: 1442264_at, GeneID: RASGRP2
Uniprot: Q8BSC8, Affymetrix: 1442264_at, GeneID: RASGRP2
Uniprot: O09004, Affymetrix: 1442264_at, GeneID: RASGRP2
Uniprot: Q8BK88, Affymetrix: 1439233_at, GeneID: SEC62
Uniprot: Q05DA2, Affymetrix: 1439233_at, GeneID: SEC62
Uniprot: Q8BU14, Affymetrix: 1439233_at, GeneID: SEC62
Uniprot: Q8CIK3, Affymetrix: 1439233_at, GeneID: SEC62
Uniprot: Q6NX81, Affymetrix: 1439233_at, GeneID: SEC62
Uniprot: Q9CRY0, Affymetrix: 1439233_at, GeneID: SEC62
Uniprot: Q3UF82, Affymetrix: 1426585_s_at, GeneID: MAPK1
Uniprot: Q3V1U6, Affymetrix: 1426585_s_at, GeneID: MAPK1
Uniprot: O35558, Affymetrix: 1426585_s_at, GeneID: MAPK1
Uniprot: Q922X7, Affymetrix: 1426585_s_at, GeneID: MAPK1
Uniprot: P27703, Affymetrix: 1426585_s_at, GeneID: MAPK1
Uniprot: P63085, Affymetrix: 1426585_s_at, GeneID: MAPK1
Uniprot: Q8CE24, Affymetrix: 1434566_a_at, GeneID: PRAMEF8
Uniprot: Q9JM86, Affymetrix: 1417708_at, GeneID: SYT3
Uniprot: P97791, Affymetrix: 1417708_at, GeneID: SYT3
Uniprot: O35681, Affymetrix: 1417708_at, GeneID: SYT3
Uniprot: Q80WV1, Affymetrix: 1417708_at, GeneID: SYT3
Uniprot: Q9QXG4, Affymetrix: 1457460_at, GeneID: ACSS2
