From	To	Species	Gene Name
PNMA3	Q9H0A4	Homo sapiens	paraneoplastic antigen MA3
PNMA3	Q9UL41	Homo sapiens	paraneoplastic antigen MA3
PNMA3	Q8JZW8	Mus musculus	paraneoplastic antigen MA3
PNMA3	Q3URF3	Mus musculus	paraneoplastic antigen MA3
ALOXE3	B7Z3W0	Homo sapiens	arachidonate lipoxygenase 3
ALOXE3	B2R981	Homo sapiens	arachidonate lipoxygenase 3
ALOXE3	Q9H4F2	Homo sapiens	arachidonate lipoxygenase 3
ALOXE3	Q9HC22	Homo sapiens	arachidonate lipoxygenase 3
ALOXE3	Q9BYJ1	Homo sapiens	arachidonate lipoxygenase 3
ALOXE3	Q3ZB74	Homo sapiens	arachidonate lipoxygenase 3
ALOXE3	Q9WV07	Mus musculus	arachidonate lipoxygenase 3
ALOXE3	Q14B96	Mus musculus	arachidonate lipoxygenase 3
ALOXE3	B1ASX3	Mus musculus	arachidonate lipoxygenase 3
ADCY8	P40146	Rattus norvegicus	adenylate cyclase 8 (brain)
ADCY8	B7UCF8	Danio rerio	novel protein similar to vertebrate adenylate cyclase 8 (brain) (ADCY8)
ADCY8	A4IGT8	Xenopus (Silurana) tropicalis	adenylate cyclase 8
ADCY8	P97490	Mus musculus	adenylate cyclase 8
ADCY8	Q3UUN2	Mus musculus	adenylate cyclase 8
ADCY8	P40145	Homo sapiens	adenylate cyclase 8 (brain)
ADCY8	Q4F7X0	Homo sapiens	adenylate cyclase 8 (brain)
ADCY6	Q03343	Rattus norvegicus	adenylate cyclase 6
ADCY6	O43306	Homo sapiens	adenylate cyclase 6
ADCY6	Q9UDB0	Homo sapiens	adenylate cyclase 6
ADCY6	Q9NR75	Homo sapiens	adenylate cyclase 6
ADCY6	Q9NR74	Homo sapiens	adenylate cyclase 6
ADCY6	Q6LCE1	Homo sapiens	adenylate cyclase 6
ADCY6	Q80U07	Mus musculus	adenylate cyclase 6
ADCY6	Q01341	Mus musculus	adenylate cyclase 6
SYT3	Q8N640	Homo sapiens	synaptotagmin III
SYT3	Q9BQG1	Homo sapiens	synaptotagmin III
SYT3	Q8N5Z1	Homo sapiens	synaptotagmin III
SYT3	Q9JM86	Mus musculus	synaptotagmin III
SYT3	P97791	Mus musculus	synaptotagmin III
SYT3	O35681	Mus musculus	synaptotagmin III
SYT3	Q80WV1	Mus musculus	synaptotagmin III
SYT3	Q925B7	Rattus norvegicus	synaptotagmin III
SYT3	Q5M8A7	Rattus norvegicus	synaptotagmin III
SYT3	P40748	Rattus norvegicus	synaptotagmin III
KPRP	Q9D1P8	Mus musculus	keratinocyte expressed, proline-rich
KPRP	B2RUR4	Mus musculus	keratinocyte expressed, proline-rich
KPRP	Q7TQM5	Rattus norvegicus	keratinocytes proline-rich protein
KPRP	Q5T749	Homo sapiens	keratinocyte proline-rich protein
L1CAM	Q6GP61	Xenopus laevis	neural cell adhesion molecule L1
L1CAM	Q6PGJ3	Mus musculus	L1 cell adhesion molecule
L1CAM	A2AFG6	Mus musculus	L1 cell adhesion molecule
L1CAM	A2AFG5	Mus musculus	L1 cell adhesion molecule
L1CAM	A2AFG8	Mus musculus	L1 cell adhesion molecule
L1CAM	A2AFG7	Mus musculus	L1 cell adhesion molecule
L1CAM	P11627	Mus musculus	L1 cell adhesion molecule
L1CAM	Q9QYQ7	Mus musculus	L1 cell adhesion molecule
L1CAM	Q684Q2	Mus musculus	L1 cell adhesion molecule
L1CAM	Q05695	Rattus norvegicus	L1 cell adhesion molecule
L1CAM	A4IHA8	Xenopus (Silurana) tropicalis	L1 cell adhesion molecule
